PC503,RM2,1,50,1
PC512,AG,2,50,1
SC531,NDJ,3,60,1
SC470,VS,3,60,1
IE402,MK2,3,50,1
SC222,SB2,3,50,1
IE411,SS,3,50,1
IE406,MVJ,3,50,1
IT496,AR2,3,40,1
IT495,MKG,3,50,1
EL524,DNC,3,50,1
EL467,YA,3,50,1
CT505,SM,3,60,1
IE407,VSP,3,50,1
IT580,AT2,3,40,1
IT582,PA,3,50,1
EL526,YA,3,50,1
IT486,AMM,3,40,3
IT531,SS,3,40,3
IT489,MKG,3,20,3
IT494,PMJ,3,40,3
IT524,MVJ,3,10,3
IT555,SDG,3,20,3
IT550,SMD,3,20,3
IT499,SB,3,10,3
EL519,BM,3,15,3
EL530,TKM,3,20,3
EL531,BM,3,15,3
EL453,RP,3,25,3
