IE402,MK2,3,10	
IE411,SS,3,50	
IE407,VSP,3,60	
IE406,MVJ,3,20		
IE408,RLD,3,40
IT494,PMJ,3,34
IT555,SDG,3,60
CT425,DKG,3,10		
CT546,AJ,3,30	
CT505,SM,3,12	
CT437,HP,3,34	
EL524,DNC,3,11	
EL526,YA,3,17	
EL530,TKM,3,33	
EL312,AKR,3,11	
EL531,BM,3,12
EL453,RP,3,11	
EL467,YA,3,13
IT414,JP,3,50
IT495,MKG,3,13 
IT486,AMM,3,20
IT550,SMD,3,25 
IT499,SB,3,16 
IT494,PMJ,3,19 
IT498,MB,3,20 
IT496,AR2,3,25 
IT555,SDG,3,30 	
SC435,MT,3,56		
SC471,VS,3,19	
SC401,AR,3,14		
SC421,SB2,3,15
SC477,GD,3,17
HM333,NB,3,9	
HM403,CJ,3,10	
HM491,NS,3,15	
HM484,BK,3,14	
HM492,GV,2,12	
HM490,ADT,2,12
